Postcode,Region,Population,Sweet Dish 1,Sweet Dish 2,Sweet Dish 3,Number of Orders - 2019 Last Six Months,Number of Orders - 2020 First Six Months,Percentage Change,Order per Capita - 2020
HS,Outer Hebrides,"27,663",n/a,n/a,n/a,n/a,n/a,n/a,n/a
KW,Kirkwall,"53,132",n/a,n/a,n/a,n/a,n/a,n/a,n/a
LD,Llandrindod Wells,"50,225",n/a,n/a,n/a,n/a,n/a,n/a,n/a
SP,Salisbury,"232,282",Donuts,Chesecake Donuts,Nutella Donuts,n/a,n/a,n/a,n/a
TA,Taunton,"322,408",Donuts,Cookie,n/a,n/a,n/a,n/a,n/a
TD,Galashiels,"112,644",n/a,n/a,n/a,n/a,n/a,n/a,n/a
TR,Truro,"294,061",n/a,n/a,n/a,n/a,n/a,n/a,n/a
ZE,Lerwick,"23,086",n/a,n/a,n/a,n/a,n/a,n/a,n/a
N,North London,"847,197",Milkshakes,Brownies,Chocolate Fudge Cake,481190,887619,45.79%,1.047712634
L,Liverpool,"856,675",Cookie Dough,Milkshake ,Tango Ice Blast,526765,812385,35.16%,0.9483001138
W,West London,"531,690",Milkshakes,Cookie Dough,Chocolate Fudge Cake,260153,438716,40.70%,0.8251349471
B,Birmingham,"1,904,293",Assorted Donuts,Rolled Ice Cream,Banoffee Pie,947004,1560889,39.33%,0.8196685069
S,Sheffield,"1,358,186",Cookie Dough,Milkshake,Chocolate Fudge Cake,440781,830268,46.91%,0.6113065515
SR,Sunderland,"250,843",Milkshakes,Slush,Waffle,61451,129130,52.41%,0.5147841479
OL,Oldham,"462,590",Milkshakes,Cookie Dough,Waffle,127819,223701,42.86%,0.4835837351
NE,Newcastle upon Tyne,"1,162,976",Milkshakes,Brownies,Waffle,294764,557307,47.11%,0.4792076535
M,Manchester,"1,167,414",Chocolate Fudge Cake,Chocolate Chip Cookie Dough,Milkshake,288676,505942,42.94%,0.4333869561
ML,Motherwell,"382,997",Slush,Ice Cream,Chocolate Fudge Cake,89221,163688,45.49%,0.4273871597
BB,Blackburn,"488,564",Chocolate Cookie Dough,Ice Cream Tub,Waffle,106151,195901,45.81%,0.4009730557
G,Glasgow,"1,183,614",Tango Ice Blast,Ice Cream Milkshake,Ice Cream,245842,465264,47.16%,0.3930876113
DH,Durham,"309,030",Milkshakes,Tango Ice Blast,Rainbow Tower Cake,48969,105970,53.79%,0.3429116914
HX,Halifax,"160,137",Cookie Dough,Milkshake,Cornflake Tart,30801,51766,40.50%,0.323260708
BL,Bolton,"379,929",Slush,Ice Cream,Milkshake,71510,114803,37.71%,0.3021696159
WN,Wigan,"309,156",Milkshakes,Cookie Dough,Ice Cream,44979,87657,48.69%,0.283536467
BD,Bradford,"578,374",Chocolate Cookie Dough,Waffle,Chocolate Fudge Cake,220594,161674,-36.44%,0.2795319292
FY,Blackpool,"276,593",Ice Cream,American Waffle,French Crepe,37460,75400,50.32%,0.2726027051
HD,Huddersfield,"262,843",Milkshakes,Ice Cream,Cookie Dough,46511,71056,34.54%,0.2703362844
LE,Leicester,"985,352",Tango Ice Blast,Cookie Dough,Milkshake,173354,263361,34.18%,0.2672760597
